2026-05-03 09:53:24 | INFO     | __main__ | Face service dimulai di http://127.0.0.1:5001 | tolerance=0.50
2026-05-03 09:55:16 | INFO     | __main__ | [VERIFY] Mulai verifikasi UID: 2495390791
2026-05-03 09:55:28 | WARNING  | face_recognition_module | API tidak tersedia saat mengambil foto wajah '2495390791' — pakai cache lokal.
2026-05-03 09:55:28 | WARNING  | face_recognition_module | Foto referensi tidak ditemukan untuk UID '2495390791'. Daftarkan wajah kadet melalui halaman admin.
2026-05-03 09:55:28 | INFO     | __main__ | [VERIFY] UID: 2495390791 | match: False | confidence: 0.0%
2026-05-03 10:13:39 | WARNING  | face_recognition_module | API tidak tersedia saat mengambil foto wajah '2495390791' — pakai cache lokal.
2026-05-03 10:13:39 | WARNING  | face_recognition_module | Foto referensi tidak ditemukan untuk UID '2495390791'. Daftarkan wajah kadet melalui halaman admin.
2026-05-03 10:13:55 | WARNING  | face_recognition_module | API tidak tersedia saat mengambil foto wajah '2495390791' — pakai cache lokal.
2026-05-03 10:13:55 | WARNING  | face_recognition_module | Foto referensi tidak ditemukan untuk UID '2495390791'. Daftarkan wajah kadet melalui halaman admin.
2026-05-03 10:14:02 | WARNING  | face_recognition_module | API tidak tersedia saat mengambil foto wajah '2495390791' — pakai cache lokal.
2026-05-03 10:14:02 | WARNING  | face_recognition_module | Foto referensi tidak ditemukan untuk UID '2495390791'. Daftarkan wajah kadet melalui halaman admin.
2026-05-03 10:17:18 | WARNING  | face_recognition_module | API tidak tersedia saat mengambil foto wajah '2495390791' — pakai cache lokal.
2026-05-03 10:17:18 | WARNING  | face_recognition_module | Foto referensi tidak ditemukan untuk UID '2495390791'. Daftarkan wajah kadet melalui halaman admin.
2026-05-03 10:19:02 | WARNING  | face_recognition_module | API tidak tersedia saat mengambil foto wajah '2495390791' — pakai cache lokal.
2026-05-03 10:19:02 | WARNING  | face_recognition_module | Foto referensi tidak ditemukan untuk UID '2495390791'. Daftarkan wajah kadet melalui halaman admin.
2026-05-03 10:30:10 | WARNING  | face_recognition_module | Foto referensi tidak ditemukan untuk UID 'TESTUID999'. Daftarkan wajah kadet melalui halaman admin.
2026-05-03 10:30:33 | WARNING  | face_recognition_module | Foto referensi tidak ditemukan untuk UID 'TESTUID999'. Daftarkan wajah kadet melalui halaman admin.
2026-05-03 10:30:55 | WARNING  | face_recognition_module | Foto referensi tidak ditemukan untuk UID 'TESTUID999'. Daftarkan wajah kadet melalui halaman admin.
2026-05-03 10:31:03 | WARNING  | face_recognition_module | Foto referensi tidak ditemukan untuk UID 'TESTUID999'. Daftarkan wajah kadet melalui halaman admin.
2026-05-03 10:31:20 | WARNING  | face_recognition_module | Foto referensi tidak ditemukan untuk UID 'TESTUID999'. Daftarkan wajah kadet melalui halaman admin.
2026-05-03 10:34:16 | WARNING  | face_recognition_module | Foto referensi tidak ditemukan untuk UID 'TESTUID999'. Daftarkan wajah kadet melalui halaman admin.
2026-05-03 10:35:53 | WARNING  | face_recognition_module | API tidak tersedia saat mengambil foto wajah '2495390791' — pakai cache lokal.
2026-05-03 10:35:53 | DEBUG    | face_recognition_module | Menggunakan foto referensi lokal: C:\SAKTI\sakti-python\face_data\images\2495390791.jpg
2026-05-03 10:36:16 | WARNING  | face_recognition_module | API tidak tersedia saat mengambil foto wajah '2495390791' — pakai cache lokal.
2026-05-03 10:36:16 | DEBUG    | face_recognition_module | Menggunakan foto referensi lokal: C:\SAKTI\sakti-python\face_data\images\2495390791.jpg
2026-05-03 10:40:41 | INFO     | face_recognition_module | [FACE] UID TESTKADET — ArcFace distance: 0.0002 | threshold: 0.68 | match: True | confidence: 100.0%
2026-05-03 10:41:32 | WARNING  | face_recognition_module | API tidak tersedia saat mengambil foto wajah '2495390791' — pakai cache lokal.
2026-05-03 10:41:32 | DEBUG    | face_recognition_module | Menggunakan foto referensi lokal: C:\SAKTI\sakti-python\face_data\images\2495390791.jpg
2026-05-03 10:42:16 | WARNING  | face_recognition_module | API tidak tersedia saat mengambil foto wajah '2495390791' — pakai cache lokal.
2026-05-03 10:42:16 | DEBUG    | face_recognition_module | Menggunakan foto referensi lokal: C:\SAKTI\sakti-python\face_data\images\2495390791.jpg
